Number of Files,Course ID,Course Full Name
1630,255,INIM3005 Immunodeficiency and Therapeutics
1591,2779,MSc Space Syntax: Architecture & Cities
1529,35327,MSc in Advanced Neuroimaging 2015/16
1529,39601,MSc in Advanced Neuroimaging 2016/17
1529,39709,Stroke Medicine 2016/17
1512,27385,SEESGS74: Public Choice - Private Interest 
1512,3253,SEESGS51: Financial Development
1489,197,Undergraduate Preparatory Certificates
1357,963,SEESGS46: Advanced Quantitative Methods
1316,4289,UAFLNGSDIP01: Diploma in EAP
1307,8254,MBBS Year 6 GP Assistantship (GP Tutors)
1282,721,SESS3003: Industrial and Corporate Change with reference to Central and Eastern Europe
1190,697,MBBS Year 1 Mod 3 Circulation and Breathing
1132,4083,Rod Digges - Demo Course
1097,1073,"Educational Psychology Group Diary, Info and Alerts Module"
1064,805,GEOGG056: Managing Nature
1054,12837,Angela Poulter's Test Course
1052,28085,SESS3011: Economics of Family
1052,957,SEESGS80: Development Economics and Policy
1047,21699,IfWH Graduate Taught Programmes Hub
1042,21671,IFWHG009: Medical Genetics
1042,41663,TO BE DELETED imported IFWHG011
1042,21693,IFWHG008: Pregnancy & Childbirth
1042,21677,IFWHG005: PGD & Developing Technology
1042,21695,"IFWHG013: Female Reproductive Anatomy, Physiology & Pathology"
1042,40995,DavidKwaw Test course
1042,41649,TO BE DELETED import ifwhg012
1042,21679,IFWHG006: Prenatal Diagnosis & Screening
1042,41651,TO BE DELETED import IFWHG009
1042,21681,"IFWHG011: Gametogenesis, preimplantation development & IVF"
1042,21701,IfWH Careers & Employability
1042,21609,IFWHG015: Basic Genetics & Technology 
1042,21683,IFWHG004: Organogenesis & Fetal Development
1042,21891,IfWH Graduate Taught Programmes Welcome
1042,41657,TO BE DELETED imported IFWHG004
1042,21685,IFWHG012: Fetal & Perinatal Medicine
1042,41659,TO BE DELETED imported IFWHG005
1042,21687,IFWHG010: Genetic Mechanisms
1042,21669,IFWHG014: Breast & Reproductive Cancers
1042,41661,TO BE DELETED imported IFWHG008
1042,21691,IFWHG007: Reproductive Health
1027,13789,Educational Psychology Research Methods and Statistics 2016-17
1008,381,"Intergrated BSc in Immunology, Infection and Cell Pathology/BSc in Immunology and Infection"
1006,751,PLIN1101 Introduction to Phonetics and Phonology A 
995,6007,SESS2013: Political Economy of European Integration
995,2019,WISE for Life and Medical Sciences
991,23118,MBBS Year 5 Module B: Women's Health and Men's Health
991,6521,z-INACTIVE MBBS Year 5 Women's Health and Communicable Diseases
986,2086,SCEP Online
985,269,INIM3004 Cellular Pathology
985,202,INIM3002 Immunology in Health and Disease
976,28123,MSc in Advanced Neuroimaging (2014/15)
976,191,MSc in Advanced Neuroimaging (2013/2014)
975,336,ARCLG118: Research Skills for Spatial Analysis
949,2394,EPRMS: Educational Psychology Research Methods and Statistics
945,28687,SEESGS79: International Macroeconomic Policy
945,5527,SEESGS23:Trade and FDI Policy with Reference to Eastern Europe
943,207,IMMN2001: Immunology
932,11441,PATHG017 - Data Interpretation
925,28083,SESS2012: Economic History and Ideas
888,29351,BIOC2002: Essential Protein Structure and Function 
888,1089,BIOC2003: Essential Molecular Biology
879,2627,"MBBS Year 2 Mod 4 Genetics, Development and Cancer "
879,21545,Using Portico Student Information Systems
872,10419,INACTIVE MBBS CPP Communication Skills
858,5387,TMSBOLSVIS01:  MSc Biology of Vision 2010-11
856,4393,Temporomandibular Joint Dysfunction Course
854,5637,SESS2010: Applied Econometrics
847,12499,Academic Writing Course
843,7786,LAWSG094: Alternative Dispute Resolution
811,536,ANAT2050/1/2: Human Anatomy and Embryology
803,11131,PSYCGR01: Statistics
798,3053,BIOC1001: Cellular and Molecular Biology
786,897,Practical Phonetics
778,40069,SH Module 3: Sustainable Strategies 2016
778,6929,Module 3: Sustainable Strategies
769,8004,CHEM2301: Laboratory Course
764,12545,CHEM2302: Laboratory Course
760,264,INIM3009/INIMM009 Neoplasia and its treatment
754,34967,MSc Ophthalmology with Clinical Practice
754,6313,MSc Clinical Ophthalmology
753,3479, ARCLG091: GIS Approaches to Past Landscapes
744,261,MBBS Year 1 Mod 2 Infection and Defence
742,3501,IP01 Learning to use Moodle
732,10053,UCL Students Abroad
728,18861,Study Abroad 2012/13
728,10051,UCL Study Abroad Preparation Programme
728,42115,UCL Study Abroad - Short Mobility Preparation
718,335,"ARCLG117: Spatial Statistics, Network Analysis and Human History"
716,20217,SESS1202: Understanding Society: Introduction to Social Theory
714,161,MSIN3001/MSINM001/MSING001: Project Management
713,11447,PATHG099 Laboratory-Based Research Project
707,12991,CEGEG077: Web and Mobile GIS - Apps and Programming
702,6545,GEOG2002: Methods in Physical Geography
702,229,PHOL2002 - Animal and Human Physiology
682,25455,Domi Sinclair 
682,16173,2017 Cambridge English Delta Course
682,2853,Medical Mycology: Module 3 Therapy of Fungal Infection 
681,19377,CHLDGG05: Gene Therapy: Molecular and Clinical Aspects (MSc Mol Med only)
680,1061,WISE for Engineering and the Built Environment
680,6607,PUBLGC26DL: Applied Research Methods for Crime Science II - Crime  Mapping and Spatial Analysis (by Distance Learning)
669,8658,PATHG014: Immunological Basis of Disease
645,4099,IoN Library/Research Projects and Submission of Coursework 2015/2016
645,39715,Dual Masters in Brain and Mind Sciences 2016/17
645,39717,IoN Library/Research Projects and Submission of Coursework 2016/17
645,206,Dual Masters in Brain and Mind Sciences 2015/2016
641,38883,ORTHG011/ORTH3003: Musculoskeletal Tissue Biology – Form and Function/Skeletal Tissue Biology
641,38885,ORTHG013/ORTH3002: Musculoskeletal Biomechanics and Biomaterials (Part I)/Biomechanics and Biomaterials
641,38829,ORTHG008/ORTH3005: Research Governance/Good Research Practice
641,38831,ORTHG009/ORTH3001: Clinical aspects of Musculoskeletal Medicine/Clinical Aspects of  Orthopaedics
636,3251,SESS2009: New Venture Creation
632,21132,Certificate in Restorative Dental Practice 2013
629,18039,PHOL2003 - Systems Neuroscience
628,256,"INIM3006: Allergy, autoimmunity and transplantation"
621,1171,MBBS Year 2 Mod 3 Endocrine Systems & Reproduction
621,6627,ANAT2050: Human Anatomy and Embryology
618,39711,MRes Translational Neurology 2016/17
618,42133,CLNEG050: Motor neuron diseases and diseases of neuromuscular junctions
618,42217,"MSc Dementia: Causes, Treatments and Research (Neuroscience) 2017/18"
618,39713,Neuromuscular Disease 2016/17
618,42135,CLNEG051 Advanced genetic technologies and their clinical applications
618,36293,"MSc Dementia: Causes, Treatments and Research (Neuroscience) 2016/17"
618,35311,MSc Clinical Neuroscience/Clinical Neurology 2015/16
618,42111,CLNEG059 Clinical neuroscience of neurodegenerative diseases
618,28121,MSc Clinical Neuroscience/Clinical Neurology 2014/15
618,42113,CLNEG060 Practical neuroscience of dementia
618,42117,CLNEG052 Skeletal muscle and associated diseases
618,42215,CLNEG053: Peripheral nerves and associated diseases
612,11775,MPHY3B27/MB27/GB27: Computing in Medicine
612,21365,MPHYGB27D: Computing in Medicine by distance learning
610,3403,Institute of Orthopaedics and Musculoskeletal Science
602,38613,DECPsy Course Materials 2016-19
602,18225,DECPsy Course Materials 2012-15
602,27821,DECPsy Course Materials 2014-17
602,23064,DECPsy Course Materials 2013-16
602,34505,DECPsy Course Materials 2015-18
592,287,"HCSCGS16: Introduction to Speech, Hearing and Audiology (Part 2)"
592,30003,SLANG103: Management of Communication Disorders 2
592,2849,Medical Mycology: Module 1 Introduction to and Principles of Medical Mycology
585,244,MSc/Diploma in Clinical Neurology (2013/2014)
584,9649,ICH Teaching and Learning 
584,2847,Medical Mycology: MSc/PG Diploma/PG Certificate in Medical Mycology
582,16353,2012 Archive Certificate in Restorative Dental Practice
580,162,PHAR3001/3002/G002: Neuropharmacology
566,22333,LAWSG168: The Future of Legal Practice
564,719,SEESGS11: Political economy of international business
553,2338,"HCSCGS17 Anatomy and Physiology of Speech, Language and Hearing"
551,3159,Certificate in Travel Health and Medicine
543,12541,(2011) Certificate in Restorative Dental Practice
535,7406,LAWSG120: Comparative Corporate Governance
534,40135,BENVGBU3: Building and Urban Design Practice - 2016-17
532,194,BIOL1005: Introduction to Genetics
530,4283,Sample materials for HPC BPS DECPsy Accreditation 2012
529,7257,MSc in Nanotechnology and Regenerative Medicine
529,19980,"MSc in Burns, Plastic and Reconstructive Surgery"
524,2963,ZooMoodle - a Virtual Educational Resource for the Biosciences (VERB)
520,27621,MSc in Cardiovascular Science 2014/15
520,23430,"Philosophy, Politics and Economics of Health: PHILGA57, PHIL3060, PHILG067 "
520,35395,MSc/MRes Clinical Drug Development 2015-16
520,34509,MSc in Cardiovascular Science 2015/16
520,28199,MSc/MRes Clinical Drug Development 2014-15
520,39779,MSc/MRes Clinical Drug Development 2016-17
520,23847,MSc/MRes Clinical Drug Development 2013-14
520,14021,MSc Clinical and Experimental Medicine 2011/12
520,23427,PHILGA56: Cost Benefit Analysis and Health
516,5655,MSc in Molecular Medicine
515,266,INIM3003 Infectious Agents
514,10621,MBBS Year 1 and 2 General Information
507,8056,BENVGBU3: Building and Urban Design Practice
506,6655,MBBS Year 2 Mod 2 Neuroscience and Behaviour
504,6285,SH Module 2: Heritage Materials and Assemblies
504,40067,SH Module 2: Heritage Materials and Assemblies 2016
502,290,SESS2006: European Macroeconomics
502,19974,SESS1003: Introduction to Microeconomics
502,26091,Deepak Kalha Test Course
501,83,GEOL2012: Metamorphism
501,6659,LAWSG122: International and European Refugee Law
499,7594,CEGE106P Scenario B: Gower Street Crossing
491,18963,MSc Clinical and Public Health Nutrition 2012-13
491,13929,MSc Clinical and Public Health Nutrition 2011/12
491,23850,MSc Clinical and Public Health Nutrition 2013-14
491,35381,MSc in Clinical and Public Health Nutrition / MSc Eating Disorders and Clinical Nutrition 2015/16
491,39785,MSc in Clinical and Public Health Nutrition / MSc Eating Disorders and Clinical Nutrition 2016/17
491,28485,MSc in Clinical and Public Health Nutrition / MSc Eating Disorders and Clinical Nutrition 2014/15
487,343,LAWSG068/LAWSG068A/LAWSG068B: Comparative Human Rights Law
486,1019,"AUDL2003: Speech Sciences: Phonetics, Acoustics and Speech Perception"
486,388,(Archive 2010) Certificate in Restorative Dental Practice
483,1196,Module 8: Developing Clinical Formulations and Interventions (CHLDGN07)
483,1197,Module 7: Advanced Developmental Cognitive Neuroscience (CHLDGN02)
479,23742,Essential Statistics for Clinicians
479,25728,DENTGP98 - MSc Dissertation
472,820,Andrea Townsend-Nicholson's Test Course
469,469,PUBLG077: International Peace & Security 
469,2021,MBBS Year 2 Medical Information Skills
465,1023,PHAR2002/2007/2005: General & Systematic Pharmacology/Intermediate Pharmacology/Introductory Pharmacology
465,8690,MSc Advanced Audiology
465,3681,PHAR2005: Introductory Pharmacology
461,2989,BIOL2009: Animal Biodiversity 
460,38887,ORTHG014: Musculoskeletal Biomaterials and Biomechanics (Part 2)
460,9611,MSc in Musculoskeletal Science
460,35897,ORTHG012: Musculoskeletal Biology Part II
460,38889,ORTHG015: Clinical Experience in Musculoskeletal Surgery
460,38827,ORTHG099: Research Project
460,38891,ORTHG027: Surgical Skills in Orthopaedic Surgery
460,38881,ORTHG010: Clinical Aspects of Musculoskeletal Medicine Part 2
459,170,PLIN1201: Introduction to Generative Grammar A
458,10187,MSc Naval Architecture (2016-17)
457,4943,"Towards a model of psychological adaptation in children with congenital disfigurement: The role of parents, attachment and shame."
450,35189,MSc Health Psychology 2015-16
450,40173,MSc Health Psychology 2016-17
450,23802,MSc Health Psychology 2013-14
450,28411,MSc Health Psychology 2014-15
450,4698,MSc Health Psychology 2012-13
450,494,LAWSG102 The Role of Economics in Competition Law and Practice 
450,704,MA in Film Studies
449,3845,Psychological Testing in Education (Singapore)
449,5101,Rosalind Duhs Test Course
446,306,LAWSG101A: International and Comparative Secured Transactions 
445,36915,SLANG203:Management of Communication Disorders IV
445,1090,BIOC2001: Molecular Biology
445,125,HCSCGS23: Disorders of vocal tract: structure and function parts I & II
441,974,PHOL1001: Mammalian Physiology
441,35421,SLANG205: Research Methods in Statistics
441,2629,"PALSG102 / PLINGM01: Research Methods: Principles, skills and applications"
440,238,PHOL3002/M002/G043: The Heart & Circulation
436,1194,Module 5: Infant and neurodevelopmental assessment (CHLDGN03)
431,27895,EARIGA07: Advances in Cochlear Implants
431,30107,SLANG106: Research and Evidence Based Practice
431,26807,HCSCGS01 Research Evidence and Design I
431,29393,HCSCGS02: Research Evidence and Design II
431,591,EARIGA01 Research Methods and Statistics
430,9359,Phantom Head Course
430,5837,SESS3005: Topics in Financial Management
424,13459,LAWSG152/A/B: Human Rights in Europe
420,8684,Digital Dental Photography
419,476,PUBLG008: Non Profit and Voluntary Sector Management and Policy
417,24789,MSc Space Science and Engineering 2013-14
417,19818,MSc Space Science and Engineering 2012-13 (archived Sep. 2013)
417,724,MSc Space Science and Engineering 2011-12 (archived Sep. 2012)
415,106,LAWSG015: EU Competition Law
415,33471,MPHYG910D: Magnetic Resonance Imaging and Biomedical Optics by distance learning
415,32835,MPHY3910/M910/G910: MRI & Biomedical Optics
415,9881,English Pronunciation
412,27107,LAWSG176: Bioethics Governance
412,34517,LAWSG182: Corporate Social Responsibility: An International Perspective 
410,314,LAWSG025/G025A: Jurisprudence and Legal Theory
409,1101,Cognitive Behavioural Therapy for Children and Young People
406,18036,PHOL2001: INTEGRATIVE PHYSIOLOGY
405,6079,PUBLGC25DL: Applied Research Methods for Crime Science I - Quantitative  and Qualitative Analysis (by Distance Learning)
404,1133,MBBS Year 6 Peer Assisted Learning (PALS)
403,34263,POLS1003: Principles of Social Science Research
396,3155,Travel Medicine Programme 
393,33469,MPHYG900D: Ultrasound in Medicine (by distance learning)
393,28915,MPHYGB10D: Imaging with Non-Ionising Radiation by distance learning
393,28281,CEGE105P: Applied Soil Mechanics
393,21363,MPHYG886D: Optics in Medicine by distance learning
393,32841,MPHY3900/M900/G900: Ultrasound in Medicine
393,10283,MPHYGB10: Imaging with non-ionising radiation
392,640,Skills for Scientists
390,1975,PLING121 / PLING227 Syntax (I)
386,2601,Psychological Testing in Education (DECPsy) 2016-17
386,21311,Psychological Testing in Education (DECPsy) Singapore 2013
384,527,MSIN1004: Accounting for Business (Term 2) 2014/15
384,37749,MClinDent in Orthodontics 16/17
384,25746,MClinDent in Orthodontics
384,35749,MSIN1004: Accounting for Business (Term 2)
384,8318,MClinDent in Orthodontics (2012/13)
384,35107,MClinDent in Orthodontics (2014/15)
383,341,LLM Student and Programme Information 2015-16
381,253,INFN2001/INFN2001A: Infection
381,20628,INIMG035: Introduction to Microbiology for Healthcare associated Infection Control
380,39579,SECU1002: Crime Mapping
380,6093,Crime Mapping and Spatial Analysis
380,443,PUBLG073: Democracy & Constitutional Design
379,3401,DEdPsy Course Materials 
378,537,STAT6101: Introductory Statistical Methods and Computing  
378,2272,STAT6102: Introductory Statistical Methods (A)
372,5047,HCSCGS22: Management of Acquired Communication Difficulties
372,36817,SLANG202 - Management of Communication Disorders 3: language and cognition (acquired)
371,7596,STAT1006: Introduction to Practical Statistics
371,37877,Introduction to R
371,26611,STAT1006 Restore 2014
370,243,VIRL3001 Molecular Virology
370,14940,VIRLG001: Molecular Virology
370,190,MSc in Clinical Neuroscience (2013/2014)
369,1034,TRTPG001 Translation Studies
366,27945,Global Health Policy 
365,4595,Digital Workflows in Archaeology
361,5745,SECUGC32: Quantitative Methods
361,5769,PUBLGC25: Applied Research Methods for Crime Science
361,344,LAWSG072: Comparative Contract Law
358,14772,TMSBOLSVIS01: MSc Biology of Vision 2011-12
358,26625,APMP Project Management BoK6
358,23211,TMSBOLSVIS01: MSc Biology of Vision 
358,19302,TMSBOLSVIS01: MSc Biology of Vision 2012-13
357,29381,Part 3 - Postgraduate Diploma in Professional Practice and Management 2015
357,41175,Part 3 - Postgraduate Diploma in Professional Practice and Management 2017
357,25809,Part 3 - Postgraduate Diploma in Professional Practice and Management 2014
357,6129,CEGEG082: GIS Principles and Technology
357,132,Part 3 - Postgraduate Diploma in Professional Practice and Management 2012
357,36615,Part 3 - Postgraduate Diploma in Professional Practice and Management 2016
357,21267,Part 3 - Postgraduate Diploma in Professional Practice and Management 2013
357,292,SESS2102: Politics and Society in Central and Eastern Europe
355,2869,"TMSPSYSPDP06, MSc Psychoanalytic Developmental Psychology"
352,455,PUBLG074: Theories & Actors of the Policy Process
351,838,LAWSG021/021A: Jeremy Bentham and the Utilitarian Tradition
349,11803,LCIT6001: Italian Level 1 (A)
349,27229,BIOC1001/1009 Biochemistry and Molecular Biology TestNiv
349,445,PUBLG079: European Union: Institutions & Politics
345,2641,PHOL3003/GG03: Fetal And Neonatal Physiology
343,4219,TMSPSYSDNP01: MSc Developmental Neuroscience and Psychopathology
343,947,"Object-Oriented Programming, COMP103P"
342,12531,DRDP Applied Clinical Dental Materials
341,20424,MClinDent + MSc in Periodontology 2012 - 2013
341,38669,TMCEDISPER01: MClinDent in Periodontology 2016 - 2017
341,23130,MClinDent  in Periodontology 2015 - 2016
341,14267,MClinDent and MSc in Periodontology 2011-12
337,237,PHOL3001/M001/G004: Respiration in Health and Disease
336,285,MBBS Year 6 Revision for MBBS Assessments
336,499,CHEM1004/1601: Foundations of Chemistry (12/13)
335,945,BIOC1009: General Biochemistry For The Natural Sciences
333,22578,BIOL1007: Fundamentals of Biology
333,464,PUBLG072: Globalisation
330,2090,ARCL1010: Introduction to European Prehistory
330,11505,HCSCRS03 & HCSCGS04: Applied Reseach Policy and Practice
329,334,ARCLG116: Archaeological Approaches to the Human Use of Space
329,1002,ARCLG145: Dental Anthropology
328,13735,MBBS Student Support 
327,5011,Key Principles of Health Economics
326,12537,Applied Clinical Dental Materials Learning Resource
325,298,LAWSG032: Banking Law
324,1193,Module 4: Developmental disorders and neuropsychological profiles (CHLDGN06)
323,10685,MBBS Year 2 Mod 1 Movement and Musculoskeletal Biology
322,30005,SLANG104: Phonetics & Phonology
322,749,HCSCGS14: Phonetics & Phonology
321,19155,Kate Howe Test
321,18324,MBBS Year 6 Course Information 2017-18
321,16818,MBBS Year 6 Course Information 2016-17
321,205,CALT Forum
321,2280,Biomedical and health information summer school
320,5227,Basic Statistics for Research
318,6830,Power and Politics in Global Health
318,7279,MPHY3890/M890/GB11: Imaging with ionising radiation
318,19074,Health Systems in a Global Context
318,8070,BENVGSD3: Social Development in Practice
318,690,ProfDevinPractice
317,601,SEESGS15 Quantitative Methods
317,241,PHOL3009/M009: Space Medicine And Extreme Environment Physiology
315,350,LAWSG028A: International Environmental Law
315,200,MSIN3002:  Marketing Communications
315,5079,DPU All Students
313,466,PUBLG007: The Ethics of Poverty
313,468,PUBLG078: International Organisation
312,5775,z-INACTIVE MBBS Year 1 and 2 Professional Development Spine 2010/11
312,309,LAWSG033: Legal Aspects of International Finance
311,9835,z-INACTIVE MBBS Phase 3 Case of the Month Revision
311,382,CEGEG016/CEGEM010/CEGE3006: Environmental Systems
311,370,LAWSG004: Environmental Governance and Regulation
310,2029,GEOLM002_GEOLGH07: Earthquake Seismology & Earthquake Hazards
310,23511,z-INACTIVE MBBS Final Year Case of the Month Case 17 - preparing for finals
310,5407,z-INACTIVE MBBS Phase 3 Case of the Month 
308,877,AUDLGS05: Balance
307,461,PUBLG058: Democratic Political Institutions
306,41605,ISSU1023: Entrepreneurship: Theory and Practice - 2017
306,8946,MSIN7008 Entrepreneurship: Theory and Practice
305,24960,MSc Adaptive Architecture and Computation 2013-14
305,39943,MSc Architectural Computation 2016-17
305,8338,Italian resources for syllabi A and B
305,254,INIM3001 Laboratory research project
305,19488,MSc Adaptive Architecture and Computation 2012-13
305,35247,MSc/MRes  Architectural Computation 
305,822,"People and Security, COMPGA10/COMPM061"
305,15066,MSc Adaptive Architecture and Computation 2011-12
305,28347,MSc Adaptive Architecture and Computation 2014-15
304,480,PUBLGL05: MA LPT (Legal Political Theory) PAL Sessions
302,747,SCAN1001: Basic Danish
300,11507,HCSCRS04: Exploring Academic Writing and Reading
300,1240,Essential Statistics
300,30007,SLANG105: Linguistic and Psychological Perspectives
300,10903,HCSCGS15: Linguistics
299,2238,Singapore  Associate Psychologists Programme 2008-10
298,305,LAWSG088 International Law of Foreign Investment 
298,442,PUBLGL08: Contemporary Political Philosophy [I]
298,375,LAWSG085: International Criminal Law 
297,472,PUBLG054: Political Economy of Development
296,21369,MPHYGB19D: Treatment with Ionising Radiation by distance learning
296,463,PUBLG066: Foreign Policy Analysis
295,19245,PLIN2203 / PLING226: Intermediate Generative Grammar B
295,733,GENDER HEALTH AND DEVELOPMENT
295,1962,PLIN2202 / PLING221: Intermediate Generative Grammar A 
294,467,PUBLG052: International Law & Human Rights
294,2402,PHOL2007: Principles of Cellular Control
292,35151,PUBLG116: Economic Policy Making
292,35155,PUBLG118: Impact Evaluation Methods
292,22842,PUBLG114: Global Governance
292,14155,PUBLG040: Policy Implementation
291,13447,LAWSG142: Law and Governance of Global Health
290,506,MSIN3017: Corporate Financial Strategy (also MSINM013)
290,16257,CEGEG086: Hydrographic Applications
290,35849,MSIN3017: Corporate Financial Strategy (also MSINM013) DO NOT USE
289,505,SESS3101: Comparative Politics
288,13453,LAWSG145: Regulation and Tort
287,14015,TMSPSYSDPC01: MSc Developmental Psychology and Clinical Practice
286,7225,LAWSG119: European Labour Rights in an International Context
285,36703,Matt Smith's ENGS101P TEST
285,2733,BIOLM018: Vertebrate Life and Evolution
285,42253,IPAC Consortium - Staff
285,3285,POLS7005A: International Security
285,26267,z___Pilar Garcia Souto Projects
285,3289,POLS7005B: International Security
285,8054,BENVGES3: Environment and Sustainable Development in Practice 2015 - 2016
285,42075,IPAC Consortium
285,8072,BENVGPU3 2015/16
284,10097,AUDLGS04 Introduction to Amplification & Aural Rehabilitation
284,18522,AUDLGS07 : Practicals
284,21631,LAWSG134 International and Commercial Trusts Law
284,371,LAWSG067: EU Administrative Law
283,6611,PUBLGC32DL: Research Methods for Crime Science (by Distance Learning)
282,14167,PUBLG101: Comparative Political Economy
281,13445,LAWSG140: Human Rights at Work
281,3353,POLS7008: Gender and Politics
280,13457,"LAWSG161: Religion, State and Law"
279,13283,z-INACTIVE MBBS Year 5 Module A: Child and Family Health with Dermatology
279,23121,MBBS Year 5 Module A: Child and Family Health
279,40081,"SH Module 4: Project Planning, Management and Maintenance 2016"
279,6931,"SH Module 4: Project Planning, Management and Maintenance"
278,27109,LAWSG177: EU Energy Law
278,34533,LAWSG183: Legal Needs and Legal Assistance
278,34535,"LAWSG184: Corporations, Global Business and Environmental Protection"
276,34885,LAWSG139: Constitutional Theory
276,2314,iBSc in Surgical Sciences
276,1037,"LAWSG083: Prison: Ideology, Policy and Law"
276,3015,WISE for Mathematical and Physical Sciences
276,34233,LAWSG099: Independent Research Essay 2016-17
276,34889,LAWSG175A: Access to Justice: Theory and Practice
276,355,LAWSG008: Constitutional and Institutional Law of the EU
276,3119,ARCLG142: Issues in Conservation: Understanding Objects
276,22339,LAWSG170: EU Contract Law
275,97,GEOL3030 Active Tectonics
275,8926,SURGGE10: Rehabilitation of Sports Injuries  
273,340,LAWSG077: Cross-Border Mergers and Acquisitions 
272,14161,PUBLG088: Advanced Quantitative Methods
272,16404,MSING010B: New Technology Ventures (2nd term)
272,98,Sibylle Nalezinski's Test Course
271,985,Research Methods and Evidence for Global Health 
270,1963,WISE for Social and Historical Sciences
268,26817,Matthew Smith's PoC Course
268,54,MSING010: Building High Impact Ventures
268,2334,WISE for Arts and Humanities
268,453,PUBLG005: Public Policy Economics & Analysis
267,3359,PUBLG009: Terrorism
266,376,LAWSG086A: International Energy Law
266,3643,GEOLGH04: Research Methods & Disaster Management
266,35153,PUBLG117: Governance and Public Management
265,6547,GEOG2003: Methods in Human Geography
265,964,PHOL1002: Mammalian Physiology
265,26847,MPHY102P: Mechanics and materials
265,2851,Medical Mycology: Module 2 Mycoses
264,40219,MSc Dissertations Yr 2016-17
264,4951,"LCUL1001: Language, Culture, Representation"
264,4599,SCAN1004: Basic Modern Icelandic
262,3219,SESS1002: Introduction to Business
262,3945,Online Staff Induction
262,1041,LAWSG092: Marine Insurance Law
262,22497,UCL Qatar Online Staff Induction
262,2080,ARCLG127: Managing Archaeological Sites
260,40587,SH Module 1: Sustainability and Heritage Value 2016
260,7075,SH Module 1: Sustainability and Heritage Value 
259,294,LAWSG064: International and Comparative Law of Trade Marks and Unfair Competition
259,40129,BENVGBU1: Transforming Local Areas: Urban Design for Development - 2016-17
258,24285,BENVGPLF: Planning for Housing: Project
258,960,TMSARCSPEM01: Project and Enterprise Management
